Port_IDs,Total_PnL,Total_Positions,Win_Positions,Win_Rate,ROI,Sharpe_Ratio,MDD
3672754654734989568,566.59765978,474.0,210.0,0.4430379746835443,0.4763850357271092,0.29623355813812235,80.77703672000003
3733192481840423936,2923.97719988,689.0,553.0,0.8026124818577649,0.25109886265200626,0.9647472129378233,2743.12
3768170840939476993,243.66889897,14.0,6.0,0.42857142857142855,8.779089104108492,0.8345165970973957,0.0
3784403294629753856,2521.81430468,6050.0,1829.0,0.3023140495867769,0.33981861143763625,0.2185647752363567,271.2919809700004
3786761687746711808,205.02139999,82.0,37.0,0.45121951219512196,0.3320721883823882,0.5274254754703112,123.46026665
3788465932399412480,13960.966456670001,3069.0,1369.0,0.44607363962202673,0.8368063722229275,0.21742741203949115,1772.2194397900003
3818233536529843712,6419.607907139999,1421.0,482.0,0.3391977480647431,0.7892085598942918,0.17381332371768166,2036.537569750004
3819545518395756033,980.06319996,68.0,26.0,0.38235294117647056,0.6898168266747995,0.5774889268613856,0.0
3826087012661391104,532.65697373,108.0,63.0,0.5833333333333334,12.17851745780603,0.791783986681139,12.925980129999992
3858510226868015873,-280.97295039,996.0,243.0,0.24397590361445784,-0.03568396328203826,0.09939575237432634,827.30973014
3865845304835489536,1406.06618669,882.0,451.0,0.5113378684807256,0.710571420923522,0.5173533927686673,149.03458057999978
3878631538480067329,3921.2330411600005,2811.0,1415.0,0.5033795802205621,0.4104572850492225,0.1691124079594092,1039.8421924399995
3879821005658659073,4268.00656095,872.0,289.0,0.33142201834862384,2.0616739267749873,0.009382293437503013,1916.1575071499983
3880920727367689984,-176.82699999000002,145.0,49.0,0.33793103448275863,-0.10905775247160804,0.046110824760485315,609.39066665
3886752488982104320,7195.178324640001,1249.0,931.0,0.745396317053643,0.8994404782536423,0.5839185520563892,38.20810000000074
3887577207880438784,2417.51403674,6050.0,2893.0,0.4781818181818182,0.21449107715407587,0.09696922190240928,577.6136464800004
3891020560590657281,2856.30056379,437.0,283.0,0.6475972540045767,1.7434069462039081,1.1283990693781834,0.0
3907081197088384000,18015.997370259996,4137.0,2540.0,0.6139714769156394,1.0992418198530547,0.7845270056500184,2060.7071223800012
3910887259807777281,1803.3020100100002,75.0,17.0,0.22666666666666666,0.8922299808025964,0.3350696640263778,663.32189998
3910983669796782848,6761.648048249999,640.0,274.0,0.428125,0.7175143454263484,0.4570396431974933,201.7234222300001
3911997667197443328,605.72231024,64.0,30.0,0.46875,0.621665092184959,0.17197416617982114,257.0679696599998
3914654298562589441,343.47044905000075,483.0,200.0,0.4140786749482402,0.08002997640851603,0.17481610970244357,3893.0689187699995
3919174299855478272,1456.3718076200003,1267.0,609.0,0.48066298342541436,0.06321673528339904,0.0738488161240168,9684.344583709999
3923766029921022977,772.7290318900001,1259.0,359.0,0.2851469420174742,0.15648862124032628,0.08882578814472897,205.53265760000005
3925368433214965504,6789.436738630001,1458.0,486.0,0.3333333333333333,0.3753030637163513,0.511756906137996,162.05753631999823
3926423286576838657,1309.4599595900002,478.0,163.0,0.3410041841004184,0.13545884037560055,0.5506662479078074,1119.0932
3930688517098515713,1947.24457347,288.0,140.0,0.4861111111111111,0.29321394573311843,0.1026544370169151,1193.9074265100003
3931992636670880512,10374.96528998,6050.0,2430.0,0.40165289256198344,0.5710796250365378,0.4618396532335422,1651.1316999599994
3932103299427844097,3860.3097053499996,2589.0,778.0,0.3005021243723445,0.21871120967134075,0.1149116838511449,669.4568359399987
3935808725185052672,2301.9641228599994,1715.0,602.0,0.3510204081632653,0.11825916711168154,0.12668295523693696,1394.9714398600001
3936410995029308417,10681.514000000001,20.0,6.0,0.3,1.7910538387345118,0.5807291963654152,0.0
3937714876784951296,1117.5308932100006,511.0,201.0,0.3933463796477495,0.08970499951658285,0.19441031572173237,3858.8245098499992
3939318616482048768,9775.389109840002,315.0,118.0,0.3746031746031746,1.0162799258193589,0.5626534293571571,87.00335997999991
3939925275039085824,2378.8786707,5928.0,2148.0,0.3623481781376518,0.6556841633425939,0.49626634027093425,78.62181989999999
3941019213896463617,4234.087790029999,112.0,55.0,0.49107142857142855,0.48928326943914424,0.22020943089406136,4944.99999998
3942630767220672256,6611.89848042,4969.0,1903.0,0.3829744415375327,0.5463509212488181,0.19379784820977444,6083.726687979999
3943533600390906881,2361.4245720499994,1759.0,964.0,0.5480386583285958,1.0608087437491676,0.7397100862138954,32.30352141
3944088772635000577,7581.491983399999,6063.0,2774.0,0.4575292759360053,0.7088427632933676,0.44200392540523176,97.20372502999987
3944239644144231424,-1187.8909756799994,858.0,227.0,0.26456876456876455,-0.12420201934127043,-0.15419952837457335,5867.434541539997
3944658614777849089,2074.4499799600003,45.0,20.0,0.4444444444444444,2.0835728712731334,0.8012537160069144,0.0
3946087913459823360,-40.667241669999996,6085.0,1930.0,0.3171733771569433,-0.05545109315060492,0.10020123769595962,453.5128596
3949214983441029120,1317.5775589599998,4530.0,1675.0,0.369757174392936,0.33279920298540916,0.3901577232690189,131.1565297200001
3949329502284748801,425.96505789,384.0,72.0,0.1875,0.8227625989486956,0.1325249627953197,32.0684
3951723256343550465,5260.022863890001,3447.0,1215.0,0.3524804177545692,0.20048576822688127,0.1329795689189803,1073.1449283800018
3952087967771302912,1032.60525986,172.0,58.0,0.3372093023255814,0.6091955584654052,0.43243896065534404,0.0
3953433416230728705,4924.761779980001,527.0,110.0,0.20872865275142316,0.4084618747774278,0.0016615621323045299,675.6869999
3953764659057081857,6048.86608919,583.0,180.0,0.30874785591766724,0.3711734934649143,0.08715499840343324,957.02322102
